PROVINCE,SECTOR,YEAR_MONTH,YEAR,TRADE_PARTNER,EXPORT,IMPORT,NET_TRADE
Alberta,Aircraft and other transportation equipment and parts,2021-05-01,2021,United States,28313000.0,86857000.0,-58544000.0
Alberta,Aircraft and other transportation equipment and parts,2021-06-01,2021,United States,34674000.0,170530000.0,-135856000.0
Alberta,Aircraft and other transportation equipment and parts,2021-07-01,2021,United States,41857000.0,316287000.0,-274430000.0
Alberta,Aircraft and other transportation equipment and parts,2021-08-01,2021,United States,24339000.0,57326000.0,-32987000.0
Alberta,Aircraft and other transportation equipment and parts,2021-09-01,2021,United States,22629000.0,27065000.0,-4436000.0
Alberta,Aircraft and other transportation equipment and parts,2021-10-01,2021,United States,31380000.0,27606000.0,3774000.0
Alberta,Aircraft and other transportation equipment and parts,2021-11-01,2021,United States,29679000.0,101011000.0,-71332000.0
Alberta,Aircraft and other transportation equipment and parts,2021-12-01,2021,United States,40868000.0,41103000.0,-235000.0
Alberta,Aircraft and other transportation equipment and parts,2022-01-01,2022,United States,38053000.0,95545000.0,-57492000.0
Alberta,Aircraft and other transportation equipment and parts,2022-02-01,2022,United States,40027000.0,94226000.0,-54199000.0
Alberta,Aircraft and other transportation equipment and parts,2022-03-01,2022,United States,37108000.0,99498000.0,-62390000.0
Alberta,Aircraft and other transportation equipment and parts,2022-04-01,2022,United States,31323000.0,287138000.0,-255815000.0
Alberta,Aircraft and other transportation equipment and parts,2022-05-01,2022,United States,34147000.0,47044000.0,-12897000.0
Alberta,Aircraft and other transportation equipment and parts,2022-06-01,2022,United States,44227000.0,516592000.0,-472365000.0
Alberta,Aircraft and other transportation equipment and parts,2022-07-01,2022,United States,33928000.0,140714000.0,-106786000.0
Alberta,Aircraft and other transportation equipment and parts,2022-08-01,2022,United States,54693000.0,202015000.0,-147322000.0
Alberta,Aircraft and other transportation equipment and parts,2022-09-01,2022,United States,53605000.0,336681000.0,-283076000.0
Alberta,Aircraft and other transportation equipment and parts,2022-10-01,2022,United States,39662000.0,101819000.0,-62157000.0
Alberta,Aircraft and other transportation equipment and parts,2022-11-01,2022,United States,30587000.0,26143000.0,4444000.0
Alberta,Aircraft and other transportation equipment and parts,2022-12-01,2022,United States,33791000.0,193593000.0,-159802000.0
Alberta,Aircraft and other transportation equipment and parts,2023-01-01,2023,United States,49071000.0,287690000.0,-238619000.0
Alberta,Aircraft and other transportation equipment and parts,2023-02-01,2023,United States,72796000.0,35997000.0,36799000.0
Alberta,Aircraft and other transportation equipment and parts,2023-03-01,2023,United States,42265000.0,124304000.0,-82039000.0
Alberta,Aircraft and other transportation equipment and parts,2023-04-01,2023,United States,26091000.0,178774000.0,-152683000.0
Alberta,Aircraft and other transportation equipment and parts,2023-05-01,2023,United States,32686000.0,121646000.0,-88960000.0
Alberta,Aircraft and other transportation equipment and parts,2023-06-01,2023,United States,23302000.0,91812000.0,-68510000.0
Alberta,Aircraft and other transportation equipment and parts,2023-07-01,2023,United States,16004000.0,151250000.0,-135246000.0
Alberta,Aircraft and other transportation equipment and parts,2023-08-01,2023,United States,20546000.0,120241000.0,-99695000.0
Alberta,Aircraft and other transportation equipment and parts,2023-09-01,2023,United States,29399000.0,19698000.0,9701000.0
Alberta,Aircraft and other transportation equipment and parts,2023-10-01,2023,United States,26670000.0,43926000.0,-17256000.0
Alberta,Aircraft and other transportation equipment and parts,2023-11-01,2023,United States,25628000.0,171660000.0,-146032000.0
Alberta,Aircraft and other transportation equipment and parts,2023-12-01,2023,United States,29524000.0,184979000.0,-155455000.0
Alberta,Aircraft and other transportation equipment and parts,2024-01-01,2024,United States,17483000.0,55039000.0,-37556000.0
Alberta,Aircraft and other transportation equipment and parts,2024-02-01,2024,United States,20741000.0,56030000.0,-35289000.0
Alberta,Aircraft and other transportation equipment and parts,2024-03-01,2024,United States,24743000.0,40255000.0,-15512000.0
Alberta,Aircraft and other transportation equipment and parts,2024-04-01,2024,United States,22059000.0,70121000.0,-48062000.0
Alberta,Aircraft and other transportation equipment and parts,2024-05-01,2024,United States,22739000.0,90831000.0,-68092000.0
Alberta,Aircraft and other transportation equipment and parts,2024-06-01,2024,United States,26136000.0,129523000.0,-103387000.0
Alberta,Aircraft and other transportation equipment and parts,2024-07-01,2024,United States,22951000.0,54907000.0,-31956000.0
Alberta,Aircraft and other transportation equipment and parts,2024-08-01,2024,United States,22449000.0,60471000.0,-38022000.0
Alberta,Aircraft and other transportation equipment and parts,2024-09-01,2024,United States,24822000.0,44686000.0,-19864000.0
Alberta,Aircraft and other transportation equipment and parts,2024-10-01,2024,United States,33296000.0,51055000.0,-17759000.0
Alberta,Aircraft and other transportation equipment and parts,2024-11-01,2024,United States,24448000.0,149261000.0,-124813000.0
Alberta,Aircraft and other transportation equipment and parts,2024-12-01,2024,United States,47598000.0,63545000.0,-15947000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2014-01-01,2014,United States,604587000.0,581454000.0,23133000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2014-02-01,2014,United States,560445000.0,564398000.0,-3953000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2014-03-01,2014,United States,684246000.0,680064000.0,4182000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2014-04-01,2014,United States,642189000.0,687155000.0,-44966000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2014-05-01,2014,United States,658936000.0,646335000.0,12601000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2014-06-01,2014,United States,584042000.0,677422000.0,-93380000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2014-07-01,2014,United States,622299000.0,722418000.0,-100119000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2014-08-01,2014,United States,639541000.0,698308000.0,-58767000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2014-09-01,2014,United States,658803000.0,544757000.0,114046000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2014-10-01,2014,United States,694909000.0,660545000.0,34364000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2014-11-01,2014,United States,644426000.0,800993000.0,-156567000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2014-12-01,2014,United States,642063000.0,577488000.0,64575000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2015-01-01,2015,United States,687142000.0,629681000.0,57461000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2015-02-01,2015,United States,608627000.0,492402000.0,116225000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2015-03-01,2015,United States,654830000.0,408006000.0,246824000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2015-04-01,2015,United States,642019000.0,378560000.0,263459000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2015-05-01,2015,United States,614245000.0,481139000.0,133106000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2015-06-01,2015,United States,596544000.0,471957000.0,124587000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2015-07-01,2015,United States,644535000.0,539135000.0,105400000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2015-08-01,2015,United States,658565000.0,523986000.0,134579000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2015-09-01,2015,United States,618723000.0,541701000.0,77022000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2015-10-01,2015,United States,563404000.0,505386000.0,58018000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2015-11-01,2015,United States,591858000.0,548687000.0,43171000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2015-12-01,2015,United States,565230000.0,477321000.0,87909000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2016-01-01,2016,United States,639783000.0,573771000.0,66012000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2016-02-01,2016,United States,566767000.0,553034000.0,13733000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2016-03-01,2016,United States,608636000.0,484612000.0,124024000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2016-04-01,2016,United States,587001000.0,448799000.0,138202000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2016-05-01,2016,United States,542596000.0,526570000.0,16026000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2016-06-01,2016,United States,558634000.0,490835000.0,67799000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2016-07-01,2016,United States,579486000.0,497866000.0,81620000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2016-08-01,2016,United States,609802000.0,493058000.0,116744000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2016-09-01,2016,United States,555058000.0,489815000.0,65243000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2016-10-01,2016,United States,567466000.0,521523000.0,45943000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2016-11-01,2016,United States,585725000.0,494605000.0,91120000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2016-12-01,2016,United States,575805000.0,512811000.0,62994000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2017-01-01,2017,United States,585474000.0,589318000.0,-3844000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2017-02-01,2017,United States,562623000.0,643713000.0,-81090000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2017-03-01,2017,United States,653623000.0,609868000.0,43755000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2017-04-01,2017,United States,669661000.0,690366000.0,-20705000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2017-05-01,2017,United States,673676000.0,618434000.0,55242000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2017-06-01,2017,United States,618207000.0,645262000.0,-27055000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2017-07-01,2017,United States,648222000.0,538897000.0,109325000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2017-08-01,2017,United States,571974000.0,543511000.0,28463000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2017-09-01,2017,United States,549627000.0,492243000.0,57384000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2017-10-01,2017,United States,567116000.0,425704000.0,141412000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2017-11-01,2017,United States,556751000.0,519407000.0,37344000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2017-12-01,2017,United States,570948000.0,566847000.0,4101000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2018-01-01,2018,United States,646504000.0,685349000.0,-38845000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2018-02-01,2018,United States,581482000.0,679873000.0,-98391000.0
