TRADE_PARTNER,YEAR_MONTH,YEAR,PROVINCE,SECTOR,EXPORT,IMPORT,NET_TRADE
United States,2014-01-01,2014,Ontario,Metal products,1413853000.0,1000108000.0,413745000.0
United States,2014-01-01,2014,Ontario,Metal ores,31689000.0,95789000.0,-64100000.0
United States,2014-01-01,2014,Ontario,Motor vehicles and parts,3970539000.0,3085696000.0,884843000.0
United States,2014-01-01,2014,Ontario,Special transactions trade,160821000.0,303112000.0,-142291000.0
United States,2014-01-01,2014,Prince Edward Island,Aircraft and transportation,3517000.0,0.0,3517000.0
United States,2014-01-01,2014,Prince Edward Island,Basic products,591000.0,9000.0,582000.0
United States,2014-01-01,2014,Prince Edward Island,Consumer goods,19824000.0,56000.0,19768000.0
United States,2014-01-01,2014,Prince Edward Island,Electronics related parts,384000.0,8000.0,376000.0
United States,2014-01-01,2014,Prince Edward Island,Energy products,0.0,0.0,0.0
United States,2014-01-01,2014,Prince Edward Island,Farm and fishing products,14952000.0,34000.0,14918000.0
United States,2014-01-01,2014,Prince Edward Island,Forestry products,268000.0,13000.0,255000.0
United States,2014-01-01,2014,Prince Edward Island,Industrial machinery parts,1743000.0,58000.0,1685000.0
United States,2014-01-01,2014,Prince Edward Island,Metal products,394000.0,27000.0,367000.0
United States,2014-01-01,2014,Prince Edward Island,Metal ores,221000.0,0.0,221000.0
United States,2014-01-01,2014,Prince Edward Island,Motor vehicles and parts,261000.0,11000.0,250000.0
United States,2014-01-01,2014,Prince Edward Island,Special transactions trade,4276000.0,23000.0,4253000.0
United States,2014-01-01,2014,Québec,Aircraft and transportation,392758000.0,220587000.0,172171000.0
United States,2014-01-01,2014,Québec,Basic products,270006000.0,222050000.0,47956000.0
United States,2014-01-01,2014,Québec,Consumer goods,579809000.0,211023000.0,368786000.0
United States,2014-01-01,2014,Québec,Electronics related parts,192735000.0,261527000.0,-68792000.0
United States,2014-01-01,2014,Québec,Energy products,376920000.0,925288000.0,-548368000.0
United States,2014-01-01,2014,Québec,Farm and fishing products,79096000.0,46316000.0,32780000.0
United States,2014-01-01,2014,Québec,Forestry products,598634000.0,149702000.0,448932000.0
United States,2014-01-01,2014,Québec,Industrial machinery parts,190599000.0,119716000.0,70883000.0
United States,2014-01-01,2014,Québec,Metal products,807484000.0,152876000.0,654608000.0
United States,2014-01-01,2014,Québec,Metal ores,73728000.0,47301000.0,26427000.0
United States,2014-01-01,2014,Québec,Motor vehicles and parts,177560000.0,158999000.0,18561000.0
United States,2014-01-01,2014,Québec,Special transactions trade,57648000.0,20807000.0,36841000.0
United States,2014-01-01,2014,Saskatchewan,Aircraft and transportation,110000.0,10429000.0,-10319000.0
United States,2014-01-01,2014,Saskatchewan,Basic products,17069000.0,101337000.0,-84268000.0
United States,2014-01-01,2014,Saskatchewan,Consumer goods,6029000.0,41738000.0,-35709000.0
United States,2014-01-01,2014,Saskatchewan,Electronics related parts,11896000.0,30803000.0,-18907000.0
United States,2014-01-01,2014,Saskatchewan,Energy products,1053152000.0,16534000.0,1036618000.0
United States,2014-01-01,2014,Saskatchewan,Farm and fishing products,307312000.0,10610000.0,296702000.0
United States,2014-01-01,2014,Saskatchewan,Forestry products,16396000.0,24547000.0,-8151000.0
United States,2014-01-01,2014,Saskatchewan,Industrial machinery parts,36925000.0,258156000.0,-221231000.0
United States,2014-01-01,2014,Saskatchewan,Metal products,9012000.0,63319000.0,-54307000.0
United States,2014-01-01,2014,Saskatchewan,Metal ores,201988000.0,1020000.0,200968000.0
United States,2014-01-01,2014,Saskatchewan,Motor vehicles and parts,5458000.0,124123000.0,-118665000.0
United States,2014-01-01,2014,Saskatchewan,Special transactions trade,5817000.0,11644000.0,-5827000.0
United States,2014-01-01,2014,Yukon,Aircraft and transportation,0.0,15000.0,-15000.0
United States,2014-01-01,2014,Yukon,Basic products,0.0,2000.0,-2000.0
United States,2014-01-01,2014,Yukon,Consumer goods,3000.0,29000.0,-26000.0
United States,2014-01-01,2014,Yukon,Electronics related parts,55000.0,326000.0,-271000.0
United States,2014-01-01,2014,Yukon,Energy products,0.0,2608000.0,-2608000.0
United States,2014-01-01,2014,Yukon,Farm and fishing products,0.0,148000.0,-148000.0
United States,2014-01-01,2014,Yukon,Forestry products,0.0,21000.0,-21000.0
United States,2014-01-01,2014,Yukon,Industrial machinery parts,0.0,507000.0,-507000.0
United States,2014-01-01,2014,Yukon,Metal products,0.0,18000.0,-18000.0
United States,2014-01-01,2014,Yukon,Metal ores,11764000.0,0.0,11764000.0
United States,2014-01-01,2014,Yukon,Motor vehicles and parts,0.0,205000.0,-205000.0
